Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.4-3405-15-1/1,Подкормка кустарников в живых изгородях,100 шт.,1,Уход за кустарником одиночным и в группе в рамках содержания парков,36091765.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-16-1/1,Уход за кустарниками одиночными и в группах - вырезка сухих сучьев и мелкой суши в первые 1-3 года,100 кустов,1,Уход за кустарником одиночным и в группе в рамках содержания парков,36091765.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-16-2/1,Уход за кустарниками одиночными и в группах - вырезка сухих сучьев и мелкой суши старше 3 лет,100 кустов,1,Уход за кустарником одиночным и в группе в рамках содержания парков,36091765.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-17-1/1,Опрыскивание роз от вредителей и болезней (без стоимости ядохимикатов),100 шт.,1,Опрыскивание ядохимикатами цветника (клумба) в рамках содержания парков,36091932.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-19-1/1,Обрезка стеблей отцветших цветочных растений и относ их за пределы цветника,100 м2,1,Уход за цветниками из луковичных растений в рамках содержания зеленых насаждений,18405211.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Квадратный метр
5.4-3405-20-1/1,Обрезка отцветших пионов выборочная,100 кустов,1,Уход за цветниками из луковичных растений в рамках содержания зеленых насаждений,18405211.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Квадратный метр
5.4-3405-21-1/1,Обрезка роз - среднерослых (весенняя),100 кустов,1,Уход за цветниками из луковичных растений в рамках содержания зеленых насаждений,18405211.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Квадратный метр
5.4-3405-21-2/1,Обрезка роз - отцветших выборочная (летняя и осенняя обрезки),100 кустов,1,Уход за цветниками из луковичных растений в рамках содержания зеленых насаждений,18405211.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Квадратный метр
5.4-3405-24-1/1,Опрыскивание растений из ранцевого опрыскивателя комплексным органическим жидким многофункциональным удобрением на основе вермикомпоста (без стоимости удобрения),100 м2,1,Опрыскивание цветника (клумба) макро- и микроудобрениями в рамках содержания парков,36091915.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-25-1/1,Рыхление снега в приствольных лунках деревьев и кустарников,100 м2,1,Уход за деревьями на территории объекта культурного наследия,96624968.0,03.07.01.04.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ТЕРРИТОРИЙ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,Штука
5.4-3405-28-1/1,Смена подвязок - при количестве на дереве одна штука,10 шт.,1,Уход за деревьями на территории объекта культурного наследия,96624968.0,03.07.01.04.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ТЕРРИТОРИЙ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,Штука
5.3-3101-2-1/1,Мелкий ремонт металлических ограждений,м2,1,Ремонт ограждения площадок в рамках благоустройства территорий объектов спорта,60046423.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3101-2-2/1,Средний ремонт металлических ограждений,м2,1,Ремонт ограждения площадок в рамках благоустройства территорий объектов спорта,60046423.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3101-4-1/1,"Замена досок в настилах, мостках, лестницах - отдельных досок до трёх штук в одном месте / доски хвойных пород, обрезные, толщина 40-60 мм",100 м,1,Ремонт лестницы при благоустройстве парков,46323918.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр
5.3-3101-4-2/1,"Замена досок в настилах, мостках, лестницах - при сплошной замене досок / доски хвойных пород, обрезные, толщина 40-60 мм",100 м2,1,Ремонт лестницы при благоустройстве парков,46323918.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр
5.3-3103-2-1/1,Устройство щебеночного основания при толщине слоя 10 см (без стоимости корыта),100 м2,1,Устройство покрытия из щебня в рамках благоустройства территорий учреждений образования,59116560.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр
5.3-3103-3-1/1,Устройство верхнего покрытия из гранитных высевок при толщине слоя 5 см,100 м2,1,Устройство покрытия из гранитной высевки (мраморной крошки) в рамках благоустройства территорий объектов спорта,60046233.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-3103-9-1/1,"Устройство бордюра из брусчатки гранитной пилено-колотой, установленной на ребро, вдоль садовых дорожек",100 м,1,Замена бортового камня в рамках ремонтно-восстановительных работ на объектах благоустройства,91741989.0,02.06.05.04 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ПОКРЫТИЯМИ И ЭЛЕМЕНТАМИ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3103-9-2/1,"Устройство бордюра из камня природного окатанного, установленного на ребро, вдоль садовых дорожек",100 м,1,Замена бортового камня в рамках ремонтно-восстановительных работ на объектах благоустройства,91741989.0,02.06.05.04 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ПОКРЫТИЯМИ И ЭЛЕМЕНТАМИ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3103-9-3/1,"Устройство бордюра из мелкоштучных камней, установленных на ребро, для клумб",100 м,1,Замена бортового камня в рамках ремонтно-восстановительных работ на объектах благоустройства,91741989.0,02.06.05.04 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ПОКРЫТИЯМИ И ЭЛЕМЕНТАМИ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3103-11-1/1,Устройство наливного полиуретанового покрытия спортивных площадок и беговых дорожек толщиной 10 мм,100 м2,1,Устройство EPDM покрытия детской игровой площадки при благоустройстве парков,46323952.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр
5.3-3104-1-1/1,"Разборка полиуретанового покрытия игровых площадок, спортивных дорожек и площадок - на асфальтобетонном основании",100 м2,1,Замена покрытия из резиновой крошки в рамках благоустройства территории,91738688.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3104-1-2/1,"Разборка полиуретанового покрытия игровых площадок, спортивных дорожек и площадок - на бетонном основании",100 м2,1,Замена покрытия из резиновой крошки в рамках благоустройства территории,91738688.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3105-12-1/1,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 100 мм на отмостке,10 м,1,Устройство лотка водосточного (решетка) в рамках ремонтно-восстановительных работ на объектах благоустройства,91743129.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-3105-12-1/2,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 200 мм на отмостке,10 м,1,Устройство лотка водосточного (решетка) в рамках ремонтно-восстановительных работ на объектах благоустройства,91743129.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-3201-2-14/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, домик-беседка (площадь дерева 9,5 м2)",шт.,1,Ремонт беседки на особо охраняемых природных территориях,10549428.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.3-3201-2-16/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, гимнастические брусья (площадь дерева 1,63 м2, площадь металла 0,79 м2)",шт.,1,Ремонт спортивного элемента искусственные препятствия в рамках благоустройства территории,91740365.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-17/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, бум (площадь дерева 2,8 м2, площадь металла 0,3 м2)",шт.,1,Ремонт спортивного элемента искусственные препятствия в рамках благоустройства территории,91740365.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-18/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, бревно (площадь дерева 1,2 м2, площадь металла 0,3 м2)",шт.,1,Ремонт спортивного элемента искусственные препятствия в рамках благоустройства территории,91740365.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-19/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, рукоход (площадь металла 1,94 м2)",шт.,1,Ремонт спортивного элемента тренажер для маломобильных групп населения в рамках благоустройства территории,91742429.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-20/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, турник высотой 2,7 м (площадь металла 3,15 м2)",шт.,1,Ремонт спортивного элемента турник - лесенка в рамках благоустройства территории,91742431.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-21/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, шведская стенка высотой 2,2 м (площадь металла 2,34 м2)",шт.,1,Ремонт спортивного элемента шведская стенка в рамках благоустройства территории,91740354.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-22/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, шведская стенка деревянная высотой 2,5 м (площадь дерева 2,34 м2)",шт.,1,Ремонт спортивного элемента шведская стенка в рамках благоустройства территории,91740354.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-25/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, стол для настольного тенниса (площадь дерева 4,32 м2)",шт.,1,Ремонт игрового элемента стол в рамках благоустройства территории,91742433.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-5-1/1,"Ремонт контейнера металлического на колесах объемом 0,8 м3",шт.,1,Ремонт контейнерной площадки на особо охраняемых природных территориях,10550147.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.3-3201-7-1/1,Установка и крепление новых брусков при ремонте скамеек - при креплении болтами по 2 болта на 1 брусок,шт.,1,Ремонт садово-паркового дивана в рамках благоустройства территории,91741631.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-7-3/1,Установка и крепление новых брусков при ремонте скамеек - при креплении шурупами-саморезами по 2 шурупа на 1 брусок,шт.,1,Ремонт садово-паркового дивана в рамках благоустройства территории,91741631.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-7-4/1,"Установка и крепление новых брусков при ремонте скамеек - при креплении шурупами-саморезами, добавлять на каждый шуруп сверх двух на брусок",10 шт.,1,Ремонт садово-паркового дивана в рамках благоустройства территории,91741631.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-8-1/1,Локальный ремонт креплений спортивных и заградительных сеток - навешивание верхнего края сетки на крючки секции ограждения длиной 5 м,секция,1,Ремонт ограждения на особо охраняемых природных территориях,10549057.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-3201-8-2/1,Локальный ремонт креплений спортивных и заградительных сеток - закрепление нижнего края сетки шнуром к секции ограждения длиной 5 м,секция,1,Ремонт ограждения на особо охраняемых природных территориях,10549057.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-3202-2-2/1,Ремонт металлических конструкций спортивных площадок: замена навесов калитки ограждения,шт.,1,Ремонт ограждения площадок в рамках благоустройства территорий объектов спорта,60046423.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3203-1-1/1,Устройство деревянных заборов глухих из строганных досок,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-1-2/1,Устройство деревянных заборов инвентарных из готовых звеньев,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-1-3/1,Устройство временных деревянных заборов из готовых элементов с тротуаром и козырьком,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-2-1/1,"Изготовление и установка секций металлического ограждения, калиток, ворот из профилированной трубы, масса секции до 150 кг",м2,1,Замена ограждения территории в рамках благоустройства территорий объектов спорта,60046185.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3203-5-1/1,"Изготовление секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг",м2,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-5-2/1,"Установка готовых секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг",м2,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-5-2/2,"Установка секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг (без стоимости секции ограждения)",м2,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-4/1,"Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 1,6 м",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-5/1,Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 2 м (без стоимости монтажных связей),100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-6/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 1,7 м (без стоимости монтажных связей)",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-7/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 2,2 м (без стоимости монтажных связей)",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-8/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 1,2 м (без стоимости монтажных связей)",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-9/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 1,7 м (без стоимости монтажных связей)",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-10/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 2,2 м (без стоимости монтажных связей)",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-6-11/1,Установка металлических оград по железобетонным столбам из колючей проволоки (без стоимости монтажных связей),100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр
5.3-3203-7-1/1,"Устройство ворот распашных с установкой металлических столбов (без стоимости металлических изделий полотен ворот, стоек опорных)",100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-2/1,Устройство ворот распашных с установкой железобетонных столбов без фундаментов (без стоимости металлических изделий полотен ворот),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-3/1,Устройство ворот распашных с установкой железобетонных столбов с фундаментами (без стоимости металлических изделий полотен ворот),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-4/1,Устройство калиток с установкой столбов бетонных (без стоимости металлических изделий полотен калиток),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-5/1,Устройство калиток с установкой столбов металлических (без стоимости металлических изделий полотен калиток и стоек опорных),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-6/1,Устройство калиток без установки столбов при металлических оградах и оградах из панелей (без стоимости металлических изделий полотен калиток),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-7-7/1,Устройство калиток без установки столбов при железобетонных оградах со столбами (без стоимости металлических изделий полотен калиток),100 шт.,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-9-1/1,Устройство заборов глухих с установкой столбов,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-2/1,"Устройство заборов решетчатых с установкой столбов высотой до 1,2 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-3/1,"Устройство заборов решетчатых с установкой столбов высотой до 1,6 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-4/1,Устройство заборов решетчатых с установкой столбов высотой до 2 м,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-5/1,Устройство заборов глухих при установленных столбах,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-6/1,"Устройство заборов решетчатых при установленных столбах высотой до 1,2 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-7/1,"Устройство заборов решетчатых при установленных столбах высотой до 1,6 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-9-8/1,Устройство заборов решетчатых при установленных столбах высотой до 2 м,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-10-1/1,Устройство калиток глухих с установкой столбов,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-2/1,"Устройство калиток  решетчатых  с установкой столбов высотой до 1,2 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-3/1,"Устройство калиток  решетчатых с установкой столбов высотой до 1,6 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-4/1,Устройство калиток решетчатых с установкой столбов высотой до 2 м,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-5/1,Устройство калиток глухих при установленных столбах,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-6/1,"Устройство калиток решетчатых при установленных столбах высотой до 1,2 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-10-7/1,"Устройство калиток  решетчатых при установленных столбахвысотой до 1,6 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
