,kpgz_code,kpgz_name,template_name
47781,01.24.99.07.02.02,КЛЕЕНКИ СТОЛОВЫЕ,КЛЕЕНКИ СТОЛОВЫЕ
47794,01.09.08.10.06.06,КЛЕЙ ДЛЯ РЕМОНТА КОЛЕС,"ПОСТАВКА КОЛЕС, КОМПЛЕКТУЮЩИХ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ КОЛЕС АВТОТРАНСПОРТНЫХ СРЕДСТВ"
47796,01.07.07.04,ПРОДУКЦИЯ ХИМИЧЕСКАЯ ДЛЯ РЕСТАВРАЦИИ,ПРОДУКЦИЯ ХИМИЧЕСКАЯ ДЛЯ РЕСТАВРАЦИИ
47800,01.15.05.04.04,КЛЕИ КАНЦЕЛЯРСКИЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
47809,01.11.03.07.01,КЛЕЙ ПОЛИВИНИЛАЦЕТАТНЫЙ,КЛЕЙ ПОЛИВИНИЛАЦЕТАТНЫЙ
47819,01.11.03.07.02,КЛЕЙ ПОЛИМЕРНЫЙ,КЛЕЙ ПОЛИМЕРНЫЙ
47872,01.15.05.04.02,ЛЕНТА КЛЕЙКАЯ КАНЦЕЛЯРСКАЯ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
47873,01.20.07.11.08,ЛЕНТА КЛЕЙКАЯ УПАКОВОЧНАЯ,ПОСТАВКА ХОЗЯЙСТВЕННЫХ ТОВАРОВ
47874,01.15.05.04.08.02,ЗАКЛАДКИ САМОКЛЕЯЩИЕСЯ БУМАЖНЫЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
47875,01.15.05.04.08.01,ЗАКЛАДКИ САМОКЛЕЯЩИЕСЯ ПЛАСТИКОВЫЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
47890,01.11.02.09.14,КЛЕЙМА УДАРНЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
47898,01.11.03.01.02.01.05,"ПОДКЛАДКИ, НАКЛАДКИ, КЛЕММЫ, СКОБЫ РЕЛЬСОВЫЕ",ПОСТАВКА ШПАЛ
47926,01.05.02.16,КЛЕТКИ ИЗ ПОЛИСУЛЬФОНА,КЛЕТКИ ИЗ ПОЛИСУЛЬФОНА
47929,01.25.17.06,"КЛЕТИ ""ДУО"" ГОРЯЧЕЙ ПРОКАТКИ","КЛЕТИ ""ДУО"" ГОРЯЧЕЙ ПРОКАТКИ"
47936,01.25.17.07,КЛЕТИ ШОВОНАПРАВЛЯЮЩИЕ,КЛЕТИ ШОВОНАПРАВЛЯЮЩИЕ
47941,01.11.02.02.03.06,КЛЕЩИ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
47945,01.02.10.37.03.08.05,КЛЕЩИ УНИВЕРСАЛЬНЫЕ,КЛЕЩИ УНИВЕРСАЛЬНЫЕ
47947,01.02.10.37.03.08.15,КЛЕЩИ ЗАЖИМНЫЕ ХИРУРГИЧЕСКИЕ,КЛЕЩИ ЗАЖИМНЫЕ ХИРУРГИЧЕСКИЕ
47962,01.02.10.34.30,КЛИН ДЛЯ ЭНДОПРОТЕЗА КОЛЕННОГО СУСТАВА,КЛИН ДЛЯ ЭНДОПРОТЕЗА КОЛЕННОГО СУСТАВА
48301,01.02.10.33.16,ВСПОМОГАТЕЛЬНЫЕ МАТЕРИАЛЫ ДЛЯ СТОМАТОЛОГИИ,ВСПОМОГАТЕЛЬНЫЕ МАТЕРИАЛЫ ДЛЯ СТОМАТОЛОГИИ
48311,01.02.10.43.387.01,КЛИНДАМИЦИН ДИСКИ ДЛЯ ТЕСТИРОВАНИЯ НА ЧУВСТВИТЕЛЬНОСТЬ ИВД,КЛИНДАМИЦИН ДИСКИ ДЛЯ ТЕСТИРОВАНИЯ НА ЧУВСТВИТЕЛЬНОСТЬ ИВД
48315,01.11.01.03.11.05,ПРИВОДЫ,ПРИВОДЫ
48316,01.02.10.06.79,КЛИНКИ ДЛЯ ЛАРИНГОСКОПОВ,КЛИНКИ ДЛЯ ЛАРИНГОСКОПОВ
48319,01.02.10.48.10.10,"КЛИНКИ ИНТУБАЦИОННЫЕ ОДНОРАЗОВЫЕ ДЛЯ ВИДЕОЛАРИНГОСКОПА ""MCGRATH MAC""","КЛИНКИ ИНТУБАЦИОННЫЕ ОДНОРАЗОВЫЕ ДЛЯ ВИДЕОЛАРИНГОСКОПА ""MCGRATH MAC"""
48322,01.02.10.16.49,КЛИНКИ ИНТУБАЦИОННЫЕ,"ПОСТАВКА РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНЕСТЕЗИОЛОГИИ, РЕАНИМАТОЛОГИИ И ИНТЕНСИВНОЙ ТЕРАПИИ."
48352,01.02.10.05.14.01,КЛИПАППЛИКАТОРЫ ЭНДОСКОПИЧЕСКИЕ,КЛИПАППЛИКАТОРЫ ЭНДОСКОПИЧЕСКИЕ
48362,01.02.10.07.13,"КЛИПCЫ ДЛЯ МНОГОРАЗОВЫХ ЧРЕЗКАНАЛЬНЫХ КЛИПИРУЮЩИХ УСТРОЙСТВ (ДЛЯ ЭНДОСКОПОВ ПРОИЗВОДСТВА ""PENTAX"" ЯПОНИЯ, ""OLYMPUS"" ЯПОНИЯ, ""FUJINON"" ЯПОНИЯ)","КЛИПCЫ ДЛЯ МНОГОРАЗОВЫХ ЧРЕЗКАНАЛЬНЫХ КЛИПИРУЮЩИХ УСТРОЙСТВ (ДЛЯ ЭНДОСКОПОВ ПРОИЗВОДСТВА ""PENTAX"" ЯПОНИЯ, ""OLYMPUS"" ЯПОНИЯ, ""FUJINON"" ЯПОНИЯ)"
48369,01.02.10.32.08.37,КЛИПСЫ И КЛИПАППЛИКАТОРЫ КОЖНЫЕ,КЛИПСЫ И КЛИПАППЛИКАТОРЫ КОЖНЫЕ
48370,01.02.10.32.08.33,КЛИПАППЛИКАТОРЫ ДЛЯ КЛИПСОВ ПО KOPITNIK (АВТОР),КЛИПАППЛИКАТОРЫ ДЛЯ КЛИПСОВ ПО KOPITNIK (АВТОР)
48431,01.02.10.07.14,"КЛИПИРУЮЩИЕ УСТРОЙСТВА (ДЛЯ ЭНДОСКОПОВ ПРОИЗВОДСТВА ""PENTAX"" ЯПОНИЯ, ""OLYMPUS"" ЯПОНИЯ, ""FUJINON"" ЯПОНИЯ)","КЛИПИРУЮЩИЕ УСТРОЙСТВА (ДЛЯ ЭНДОСКОПОВ ПРОИЗВОДСТВА ""PENTAX"" ЯПОНИЯ, ""OLYMPUS"" ЯПОНИЯ, ""FUJINON"" ЯПОНИЯ)"
48439,01.02.10.06.22.04,КЛИПСЫ СОСУДИСТЫЕ,КЛИПСЫ СОСУДИСТЫЕ
48441,01.02.10.05.14.02,КЛИПСЫ ЛИГАТУРНЫЕ,КЛИПСЫ ЛИГАТУРНЫЕ
48471,01.02.10.32.08.32,КЛИПСЫ СОСУДИСТЫЕ НЕЙРОХИРУРГИЧЕСКИЕ ПО KOPITNIK (АВТОР),КЛИПСЫ СОСУДИСТЫЕ НЕЙРОХИРУРГИЧЕСКИЕ ПО KOPITNIK (АВТОР)
48479,01.02.10.32.08.04,КЛИПСЫ СОСУДИСТЫЕ НЕЙРОХИРУРГИЧЕСКИЕ ПО YASARGIL (АВТОР),КЛИПСЫ СОСУДИСТЫЕ НЕЙРОХИРУРГИЧЕСКИЕ ПО YASARGIL (АВТОР)
48809,01.02.10.06.22.06.01,"КЛИПСА ДЛЯ АНЕВРИЗМЫ, СТЕРИЛЬНАЯ","КЛИПСА ДЛЯ АНЕВРИЗМЫ, СТЕРИЛЬНАЯ"
48810,01.02.10.06.22.08,"КЛИПСА ДЛЯ ЛИГИРОВАНИЯ, ИЗ СИНТЕТИЧЕСКОГО ПОЛИМЕРА, НЕРАССАСЫВАЮЩАЯСЯ","КЛИПСА ДЛЯ ЛИГИРОВАНИЯ, ИЗ СИНТЕТИЧЕСКОГО ПОЛИМЕРА, НЕРАССАСЫВАЮЩАЯСЯ"
48811,01.02.10.06.22.05,"КЛИПСА ДЛЯ ЛИГИРОВАНИЯ, МЕТАЛЛИЧЕСКАЯ","КЛИПСА ДЛЯ ЛИГИРОВАНИЯ, МЕТАЛЛИЧЕСКАЯ"
48815,01.02.10.06.22.07.01,"КЛИПСА ДЛЯ СКРЕПЛЕНИЯ КРАЕВ РАНЫ, НЕ РАЗЛАГАЕМАЯ МИКРООРГАНИЗМАМИ","КЛИПСА ДЛЯ СКРЕПЛЕНИЯ КРАЕВ РАНЫ, НЕ РАЗЛАГАЕМАЯ МИКРООРГАНИЗМАМИ"
48816,01.04.04.18,ЧАСТИ ЗАПАСНЫЕ И МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ ОБОРУДОВАНИЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ,ЧАСТИ ЗАПАСНЫЕ И МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ ОБОРУДОВАНИЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ
48823,01.08.01.09.12,КЛИПСЫ ЗАЖИМЫ ДЛЯ СПОРТИВНОГО ИНВЕНТАРЯ,КЛИПСЫ ЗАЖИМЫ ДЛЯ СПОРТИВНОГО ИНВЕНТАРЯ
48829,01.02.10.05.47.01,ЭНДОКЛИППЕРЫ,ЭНДОКЛИППЕРЫ
48832,01.02.10.05.48,КЛИПСЫ ЭНДОСКОПИЧЕСКИЕ,КЛИПСЫ ЭНДОСКОПИЧЕСКИЕ
48833,01.02.10.48.06.07,"КЛИПСЫ И КОЛЬЦА ЛИГАТУРНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ""","КЛИПСЫ И КОЛЬЦА ЛИГАТУРНЫЕ ДЛЯ ОБОРУДОВАНИЯ ""KARL STORZ"""
48834,01.02.10.05.45,КЛИПСЫ ЭНДОСКОПИЧЕСКИЕ,КЛИПСЫ ЭНДОСКОПИЧЕСКИЕ
48877,01.18.11,ЛУКОВИЦЫ И КЛУБНЕЛУКОВИЦЫ ЦВЕТОЧНЫХ КУЛЬТУР,ПОСТАВКА ПОСАДОЧНОГО МАТЕРИАЛА
48880,01.01.04.05,КЛЮКВА,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
48891,01.11.02.02.07.01.02,КЛЮЧИ ГАЕЧНЫЕ КОЛЬЦЕВЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48893,01.11.02.02.07.01.04,КЛЮЧИ ГАЕЧНЫЕ КОМБИНИРОВАННЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48894,01.11.02.02.07.01.01,КЛЮЧИ ГАЕЧНЫЕ РАЗВОДНЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48897,01.11.02.02.07.01.05,КЛЮЧИ ГАЕЧНЫЕ С ОТКРЫТЫМ ЗЕВОМ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48899,01.11.02.02.07.01.03,КЛЮЧИ ГАЕЧНЫЕ ТОРЦОВЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48902,01.02.10.11.02.09,"КЛЮЧИ ГАЕЧНЫЕ УНИВЕРСАЛЬНЫЕ ДЛЯ ФАКОИГЛ ""STAR""","КЛЮЧИ ГАЕЧНЫЕ УНИВЕРСАЛЬНЫЕ ДЛЯ ФАКОИГЛ ""STAR"""
48904,01.11.02.02.07.01.07,КЛЮЧИ ДЛЯ ВИНТОВ С ВНУТРЕННИМ ШЕСТИГРАННИКОМ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48907,01.11.02.02.07.01.09,КЛЮЧИ ДЛЯ КРУГЛЫХ ШЛИЦЕВЫХ ГАЕК,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48920,01.11.02.02.07.01.06,КЛЮЧИ МОМЕНТНЫЕ (ДИНАМОМЕТРИЧЕСКИЕ),ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48929,01.11.02.02.07.01.14,КЛЮЧИ РЕМЕННЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48944,01.11.02.02.07.01.15,КЛЮЧИ ТРЕХГРАННЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48945,01.11.02.02.07.01.10,КЛЮЧИ ТРЕЩОТОЧНЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48946,01.11.02.02.07.01.08,КЛЮЧИ ТРУБНЫЕ РЫЧАЖНЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48947,01.11.02.02.07.01.16,КЛЮЧИ ЦЕПНЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48948,01.11.02.02.07.01.13,КЛЮЧИ ШАРНИРНЫЕ ДЛЯ КРУГЛЫХ ШЛИЦЕВЫХ ГАЕК,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
48954,01.08.01.19.08,КЛЮЧИ ДЛЯ ВЕШЕК ДЛЯ ЛЫЖНОГО СПОРТА,ПОСТАВКА ОБОРУДОВАНИЯ И ИНВЕНТАРЯ ДЛЯ ЛЫЖНЫХ И ЛЕДОВЫХ ВИДОВ СПОРТА
48955,01.08.01.16.01.01.03,КЛЮШКИ ДЛЯ СЛЕДЖ-ХОККЕЯ,ПОСТАВКА ОБОРУДОВАНИЯ И ИНВЕНТАРЯ ДЛЯ ЛЫЖНЫХ И ЛЕДОВЫХ ВИДОВ СПОРТА
48958,01.08.01.16.01.01.02,КЛЮШКИ ДЛЯ ИГРЫ В ХОККЕЙ С МЯЧОМ,ПОСТАВКА ОБОРУДОВАНИЯ И ИНВЕНТАРЯ ДЛЯ ЛЫЖНЫХ И ЛЕДОВЫХ ВИДОВ СПОРТА
48959,01.08.01.31.01,КЛЮШКИ ДЛЯ ФЛОРБОЛА,КЛЮШКИ ДЛЯ ФЛОРБОЛА
48965,01.08.01.16.01.01.01,КЛЮШКИ ДЛЯ ИГРЫ В ХОККЕЙ С ШАЙБОЙ,ПОСТАВКА ОБОРУДОВАНИЯ И ИНВЕНТАРЯ ДЛЯ ЛЫЖНЫХ И ЛЕДОВЫХ ВИДОВ СПОРТА
48996,01.15.02.05.01,КНИГИ АЛФАВИТНЫЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
49007,01.15.02.05.07,КНИГИ УЧЕТА УНИВЕРСАЛЬНЫЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
49009,01.15.02.09,КНИЖКИ ЗАПИСНЫЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
49010,01.20.07.05.03,НОЖЕВАЯ ПРОДУКЦИЯ БЫТОВАЯ,ПОСТАВКА ХОЗЯЙСТВЕННЫХ ТОВАРОВ
49012,01.03.02.02,КОНТРОЛЛЕРЫ ДОСТУПА,КОНТРОЛЛЕРЫ ДОСТУПА
49043,01.15.05.04.05.01,КНОПКИ КАНЦЕЛЯРСКИЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
49047,01.13.04.04.08,КНОПКИ КОМПЬЮТЕРНЫЕ ВЫНОСНЫЕ,КНОПКИ КОМПЬЮТЕРНЫЕ ВЫНОСНЫЕ
49103,01.02.11.01.12.02.03.02,"КОАГУЛОМЕТР ИВД, ЛАБОРАТОРНЫЙ, АВТОМАТИЧЕСКИЙ","КОАГУЛОМЕТР ИВД, ЛАБОРАТОРНЫЙ, АВТОМАТИЧЕСКИЙ"
49104,01.02.11.01.12.02.03.04,"КОАГУЛОМЕТР ДЛЯ ДОМАШНЕГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ БАТАРЕИ","КОАГУЛОМЕТР ДЛЯ ДОМАШНЕГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ БАТАРЕИ"
49105,01.02.11.01.12.02.03.03,"КОАГУЛОМЕТР ДЛЯ ДОМАШНЕГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ СЕТИ","КОАГУЛОМЕТР ДЛЯ ДОМАШНЕГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ СЕТИ"
49106,01.26.08,КОАГУЛЯНТЫ ДЛЯ ВОДООЧИСТКИ И ВОДОПОДГОТОВКИ,ПОСТАВКА РЕАГЕНТОВ ДЛЯ ВОДООЧИСТКИ И ВОДОПОДГОТОВКИ
49113,01.11.01.07.10,КОАГУЛЯТОРЫ ДЛЯ ВОДОПОДГОТОВКИ,КОАГУЛЯТОРЫ ДЛЯ ВОДОПОДГОТОВКИ
49118,01.02.11.01.16.07,КОАГУЛЯТОРЫ ЛАЗЕРНЫЕ ОТОРИНОЛАРИНГОЛОГИЧЕСКИЕ,КОАГУЛЯТОРЫ ЛАЗЕРНЫЕ ОТОРИНОЛАРИНГОЛОГИЧЕСКИЕ
49119,01.02.11.01.08.01.05.02,Коагулятор плазменный нейтральный хирургический,КОАГУЛЯТОР ПЛАЗМЕННЫЙ НЕЙТРАЛЬНЫЙ ХИРУРГИЧЕСКИЙ
49129,01.26.01.02.03.01.20,КОБАЛЬТ (II) СЕРНО-КИСЛЫЙ 7-ВОДНЫЙ (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
49131,01.26.01.02.03.02.07,КОБАЛЬТ ХЛОРИСТЫЙ 6-ТИ ВОДНЫЙ (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
49144,01.24.03.01,КОВРЫ,КОВРЫ
49152,01.08.01.02.03,КОВРЫ БОРЦОВСКИЕ ДЛЯ ВОЛЬНОЙ И ГРЕКО-РИМСКОЙ БОРЬБЫ,КОВРЫ БОРЦОВСКИЕ ДЛЯ ВОЛЬНОЙ И ГРЕКО-РИМСКОЙ БОРЬБЫ
49158,01.08.01.09.27,КОВРЫ ГИМНАСТИЧЕСКИЕ,КОВРЫ ГИМНАСТИЧЕСКИЕ
49167,01.01.07.06.02,КОВРИЖКИ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
49180,01.08.01.09.03,КОВРИКИ ГИМНАСТИЧЕСКИЕ,КОВРИКИ ГИМНАСТИЧЕСКИЕ
49185,01.20.13.02,КОВРИКИ ДЕЗИНФЕКЦИОННЫЕ,КОВРИКИ ДЕЗИНФЕКЦИОННЫЕ
49186,01.04.01.07.14.02,КОВРИКИ ДИЭЛЕКТРИЧЕСКИЕ РЕЗИНОВЫЕ,ПОСТАВКА ПЕРВИЧНЫХ СРЕДСТВ ПОЖАРОТУШЕНИЯ
49187,01.20.10.05.03,КОВРИКИ ДЛЯ БЫТОВЫХ ШВЕЙНЫХ МАШИН,КОВРИКИ ДЛЯ БЫТОВЫХ ШВЕЙНЫХ МАШИН
49188,01.08.01.35.99,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ДАРТСА ПРОЧЕЕ,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ДАРТСА ПРОЧЕЕ
49191,01.02.10.50.86,КОВРИК ДЛЯ ПОЛА АНТИБАКТЕРИАЛЬНЫЙ,КОВРИК ДЛЯ ПОЛА АНТИБАКТЕРИАЛЬНЫЙ
49202,01.15.05.13,КОВРИКИ КАНЦЕЛЯРСКИЕ,"ПОСТАВКА КАНЦЕЛЯРСКИХ ТОВАРОВ, БУМАГИ И БУМАЖНЫХ ИЗДЕЛИЙ"
49206,01.02.10.50.24,КОВРИКИ МЕДИЦИНСКИЕ,КОВРИКИ МЕДИЦИНСКИЕ
49232,01.20.13.03,КОВРИКИ ОРТОПЕДИЧЕСКИЕ МАССАЖНЫЕ,КОВРИКИ ОРТОПЕДИЧЕСКИЕ МАССАЖНЫЕ
49236,01.20.13.01,КОВРИКИ РЕЗИНОВЫЕ ГРЯЗЕЗАЩИТНЫЕ,КОВРИКИ РЕЗИНОВЫЕ ГРЯЗЕЗАЩИТНЫЕ
49243,01.08.01.01.12,КОВРИКИ ТУРИСТИЧЕСКИЕ ПЕННЫЕ,"ПОСТАВКА СНАРЯДОВ, ИНВЕНТАРЯ И ОБОРУДОВАНИЯ ДЛЯ ЗАНЯТИЙ ФИЗКУЛЬТУРОЙ И АТЛЕТИКОЙ В СПОРТИВНЫХ ЗАЛАХ"
49252,01.24.03.03,ПОКРЫТИЯ КОВРОВЫЕ,ПОКРЫТИЯ КОВРОВЫЕ
49257,01.11.03.12.03,КОВРОЛИН,КОВРОЛИН
49281,01.02.10.55.04,АНТИСЕПТИКИ КОЖНЫЕ,ПОСТАВКА ДЕЗИНФИЦИРУЮЩИХ СРЕДСТВ МЕДИЦИНСКОГО НАЗНАЧЕНИЯ
49322,01.08.01.09.09,КОЗЛЫ ГИМНАСТИЧЕСКИЕ,КОЗЛЫ ГИМНАСТИЧЕСКИЕ
49326,01.25.56,КРАНЫ КОЗЛОВЫЕ,КРАНЫ КОЗЛОВЫЕ
49329,01.01.08.01.10,КОЗЛЯТИНА,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
49344,01.11.03.03.02.99,СТЕКЛО ПРОЧЕЕ,СТЕКЛО ПРОЧЕЕ
49349,01.02.10.43.388.02,"КОКАИН/МЕТАБОЛИТЫ КОКАИНА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","КОКАИН/МЕТАБОЛИТЫ КОКАИНА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
49350,01.02.10.43.388.01,"КОКАИН/МЕТАБОЛИТЫ КОКАИНА ИВД, НАБОР, ИММУНОХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ, ЭКСПРЕСС-АНАЛИЗ","КОКАИН/МЕТАБОЛИТЫ КОКАИНА ИВД, НАБОР, ИММУНОХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ, ЭКСПРЕСС-АНАЛИЗ"
49360,01.02.11.01.13.01.08,КИСЛОРОДНЫЕ КОКТЕЙЛЕРЫ,КИСЛОРОДНЫЕ КОКТЕЙЛЕРЫ
49366,01.02.10.43.423.02.09,КОЛБА КЬЕЛЬДАЛЯ,КОЛБА КЬЕЛЬДАЛЯ
49394,01.02.10.43.423.02.16,КОЛБА ФАВОРСКОГО,КОЛБА ФАВОРСКОГО
49399,01.02.10.43.423.02.01,КОЛБА ГРУШЕВИДНАЯ (ТИП ГР),КОЛБА ГРУШЕВИДНАЯ (ТИП ГР)
49412,01.02.10.48.19.20,РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ АСПИРАТОРОВ,РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ АСПИРАТОРОВ
49413,01.02.10.43.423.02.02,КОЛБА КОНИЧЕСКАЯ (ТИП КН),КОЛБА КОНИЧЕСКАЯ (ТИП КН)
49532,01.05.02.09.11,КОЛБЫ КОНИЧЕСКИЕ ПЛАСТИКОВЫЕ,КОЛБЫ КОНИЧЕСКИЕ ПЛАСТИКОВЫЕ
49543,01.02.10.43.423.02.03,КОЛБА КРУГЛОДОННАЯ (ТИП К),КОЛБА КРУГЛОДОННАЯ (ТИП К)
49641,01.02.10.43.423.02.04,КОЛБА КРУГЛОДОННАЯ ДЛЯ ПЕРЕГОНКИ (ТИП КП),КОЛБА КРУГЛОДОННАЯ ДЛЯ ПЕРЕГОНКИ (ТИП КП)
49665,01.02.10.43.423.02.05,КОЛБА КРУГЛОДОННАЯ С ДВУМЯ ГОРЛОВИНАМИ (ТИП КГУ-2),КОЛБА КРУГЛОДОННАЯ С ДВУМЯ ГОРЛОВИНАМИ (ТИП КГУ-2)
49707,01.02.10.43.423.02.06,КОЛБА КРУГЛОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ (ТИП КГП-3),КОЛБА КРУГЛОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ (ТИП КГП-3)
49727,01.02.10.43.423.02.07,"КОЛБА КРУГЛОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ, РАСПОЛОЖЕННЫМИ ПОД УГЛОМ (ТИП КГУ-3)","КОЛБА КРУГЛОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ, РАСПОЛОЖЕННЫМИ ПОД УГЛОМ (ТИП КГУ-3)"
49769,01.02.10.43.423.02.08,КОЛБА КРУГЛОДОННАЯ С ЧЕТЫРЬМЯ ГОРЛОВИНАМИ (ТИП КГП-4),КОЛБА КРУГЛОДОННАЯ С ЧЕТЫРЬМЯ ГОРЛОВИНАМИ (ТИП КГП-4)
49803,01.02.10.43.423.02.10,КОЛБА ОСТРОДОННАЯ (ТИП О),КОЛБА ОСТРОДОННАЯ (ТИП О)
49815,01.02.10.43.423.02.11,КОЛБА ОСТРОДОННАЯ ДЛЯ ПЕРЕГОНКИ (ТИП ОП),КОЛБА ОСТРОДОННАЯ ДЛЯ ПЕРЕГОНКИ (ТИП ОП)
49823,01.02.10.43.423.02.12,КОЛБА ОСТРОДОННАЯ С ДВУМЯ ГОРЛОВИНАМИ (ТИП ОГ-2),КОЛБА ОСТРОДОННАЯ С ДВУМЯ ГОРЛОВИНАМИ (ТИП ОГ-2)
49831,01.02.10.43.423.02.13,КОЛБА ОСТРОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ (ТИП ОГ-3),КОЛБА ОСТРОДОННАЯ С ТРЕМЯ ГОРЛОВИНАМИ (ТИП ОГ-3)
49847,01.02.10.43.423.02.14,КОЛБА ПЛОСКОДОННАЯ (ТИП П),КОЛБА ПЛОСКОДОННАЯ (ТИП П)
49943,01.02.10.43.423.02.15,КОЛБА С ТУБУСОМ,КОЛБА С ТУБУСОМ
49958,01.01.08.03.01.04.02,ИЗДЕЛИЯ КОЛБАСНЫЕ ВАРЕНО-КОПЧЕНЫЕ МЯСНЫЕ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
49959,01.01.08.03.01.04.07,ИЗДЕЛИЯ КОЛБАСНЫЕ ВАРЕНО-КОПЧЕНЫЕ МЯСОСОДЕРЖАЩИЕ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
